0_4oog_D_S000001,-42.1,0.0,2.84
0_4oog_D_S000002,-27.1,0.0,2.48
0_4oog_D_S000003,-40.6,0.0,2.75
0_4oog_D_S000004,-8.0,0.0,2.75
0_4oog_D_S000005,-30.2,0.0,3.39
0_4oog_D_S000006,-15.6,0.0,2.39
0_4oog_D_S000007,-36.1,0.0,3.29
0_4oog_D_S000008,-27.1,0.0,2.82
0_4oog_D_S000009,-35.2,0.0,2.94
0_4oog_D_S000010,-29.7,0.0,3.15
0_4oog_D_S000011,-33.2,0.0,2.49
0_4oog_D_S000012,-28.8,0.0,2.78
0_4oog_D_S000013,-26.1,0.0,2.96
0_4oog_D_S000014,-27.8,0.0,2.83
0_4oog_D_S000015,-28.6,0.0,2.59
0_4oog_D_S000016,-34.0,0.0,2.75
0_4oog_D_S000017,-26.8,0.0,2.75
0_4oog_D_S000018,-26.9,0.0,2.67
0_4oog_D_S000019,-22.0,0.0,2.58
0_4oog_D_S000020,-35.1,0.0,2.65
1_4oog_D_S000001,-30.7,0.0,2.79
1_4oog_D_S000002,-30.5,0.0,3.65
1_4oog_D_S000003,-15.7,0.0,3.18
1_4oog_D_S000004,-34.1,0.0,2.62
1_4oog_D_S000005,-36.5,0.0,2.73
1_4oog_D_S000006,-38.8,0.0,2.85
1_4oog_D_S000007,-34.9,0.0,2.78
1_4oog_D_S000008,-28.7,0.0,2.99
1_4oog_D_S000009,-28.5,0.0,2.75
1_4oog_D_S000010,-40.3,0.0,2.70
1_4oog_D_S000011,-25.2,0.0,2.75
1_4oog_D_S000012,-31.7,0.0,3.07
1_4oog_D_S000013,-34.7,0.0,2.88
1_4oog_D_S000014,-30.9,0.0,2.91
1_4oog_D_S000015,-39.2,0.0,2.56
1_4oog_D_S000016,-32.7,0.0,2.82
1_4oog_D_S000017,-32.1,0.0,3.26
1_4oog_D_S000018,-27.1,0.0,3.15
1_4oog_D_S000019,-27.8,0.0,2.64
1_4oog_D_S000020,-37.7,0.0,2.96
2_4oog_D_S000001,-31.0,0.0,3.26
2_4oog_D_S000002,-24.1,0.0,2.73
2_4oog_D_S000003,-33.0,0.0,2.46
2_4oog_D_S000004,-36.9,0.0,2.76
2_4oog_D_S000005,-30.8,0.0,2.83
2_4oog_D_S000006,-35.6,0.0,2.88
2_4oog_D_S000007,-21.7,0.0,2.73
2_4oog_D_S000008,-30.2,0.0,2.97
2_4oog_D_S000009,-30.2,0.0,2.68
2_4oog_D_S000010,-30.4,0.0,2.76
2_4oog_D_S000011,-30.3,0.0,3.28
2_4oog_D_S000012,-30.5,0.0,3.08
2_4oog_D_S000013,-31.4,0.0,3.16
2_4oog_D_S000014,-24.0,0.0,3.45
2_4oog_D_S000015,-30.3,0.0,2.78
2_4oog_D_S000016,-30.9,0.0,3.05
2_4oog_D_S000017,-32.0,0.0,2.76
2_4oog_D_S000018,-32.3,0.0,2.89
2_4oog_D_S000019,-30.7,0.0,3.00
2_4oog_D_S000020,-30.6,0.0,3.07
3_4oog_D_S000001,-37.3,0.0,3.22
3_4oog_D_S000002,-25.4,0.0,2.76
3_4oog_D_S000003,-38.0,0.0,3.15
3_4oog_D_S000004,-26.8,0.0,3.47
